image_id,labels
train-cbb-180.jpg,0
2546103694.jpg,3
2455356722.jpg,3
1318741768.jpg,3
3121650920.jpg,3
470266437.jpg,3
3389713573.jpg,3
4079242692.jpg,2
train-cmd-85.jpg,3
1362172635.jpg,3
2963533816.jpg,3
3110710270.jpg,3
3378967649.jpg,4
train-cmd-45.jpg,3
3488113907.jpg,3
train-cmd-475.jpg,3
1886828385.jpg,4
310240981.jpg,4
670606517.jpg,1
train-cmd-927.jpg,3
2226438384.jpg,2
2764801503.jpg,3
4147695010.jpg,1
1083896176.jpg,2
1539509654.jpg,3
3398069947.jpg,3
train-cmd-683.jpg,3
1282714006.jpg,2
246993225.jpg,3
3412658650.jpg,3
452338583.jpg,3
2941081204.jpg,3
2072537637.jpg,2
2548685396.jpg,3
4152202956.jpg,3
3094965725.jpg,4
3257227990.jpg,0
4193039618.jpg,2
2130816690.jpg,3
15175683.jpg,3
2221240763.jpg,0
1152356015.jpg,3
3377803887.jpg,3
train-cbsd-1423.jpg,1
748237612.jpg,3
3871723794.jpg,3
2771999001.jpg,1
141506985.jpg,1
3267552912.jpg,3
train-cgm-578.jpg,2
2751784473.jpg,3
3967002927.jpg,3
3219471796.jpg,3
train-cmd-734.jpg,3
3117490320.jpg,3
2478621909.jpg,3
3535017534.jpg,0
2673819394.jpg,3
3716704922.jpg,2
3121522599.jpg,4
train-cmd-818.jpg,3
3333099414.jpg,3
3205038032.jpg,1
train-cmd-602.jpg,3
1468732806.jpg,2
2927204876.jpg,3
3926359515.jpg,4
train-cgm-344.jpg,2
train-cmd-744.jpg,3
train-cmd-56.jpg,3
1421692593.jpg,3
1003888281.jpg,0
3311561810.jpg,3
462079305.jpg,1
train-cmd-2334.jpg,3
790193480.jpg,3
2437547294.jpg,1
train-cbsd-1348.jpg,1
1901135696.jpg,3
884573629.jpg,3
2059912139.jpg,3
1464735007.jpg,3
2891831369.jpg,3
train-cmd-1578.jpg,3
train-cbsd-318.jpg,1
913436788.jpg,3
1193197595.jpg,1
89587006.jpg,3
568411429.jpg,3
train-cbsd-1357.jpg,1
1844952101.jpg,1
train-cmd-962.jpg,3
3844331392.jpg,3
3886831141.jpg,0
127157286.jpg,2
4045262215.jpg,3
632517607.jpg,3
4272738876.jpg,3
4102423093.jpg,3
1118213233.jpg,3
3410668826.jpg,4
train-cmd-142.jpg,3
2464983758.jpg,0
2657641682.jpg,3
107443287.jpg,3
train-cbsd-461.jpg,1
3972207361.jpg,3
2327226384.jpg,3
2729880246.jpg,3
2741950720.jpg,3
4210825389.jpg,3
1504168239.jpg,3
train-cmd-721.jpg,3
521262022.jpg,3
train-cbsd-495.jpg,1
1883419936.jpg,4
train-cbsd-1096.jpg,1
2322452117.jpg,3
332671800.jpg,3
train-cbsd-1055.jpg,1
train-healthy-313.jpg,4
2810410846.jpg,4
3028069044.jpg,3
1986950295.jpg,3
1510219104.jpg,3
train-cbsd-811.jpg,1
3981645736.jpg,4
1540424279.jpg,3
3225863041.jpg,3
4270603433.jpg,4
864600398.jpg,4
1086683858.jpg,3
1815643293.jpg,4
1386425795.jpg,3
101712540.jpg,2
train-cbsd-47.jpg,1
693678702.jpg,4
919127864.jpg,1
1046187121.jpg,3
1379079003.jpg,2
3712630265.jpg,3
train-cgm-645.jpg,2
271724485.jpg,3
4175405033.jpg,1
train-cmd-2558.jpg,3
train-cgm-186.jpg,2
789395846.jpg,3
1904646699.jpg,3
654346166.jpg,3
2705886783.jpg,3
train-cbsd-1064.jpg,1
119670532.jpg,1
1892715809.jpg,2
2568279561.jpg,3
train-cmd-1573.jpg,3
100042118.jpg,1
1465491965.jpg,3
train-cmd-1702.jpg,3
2281344885.jpg,3
2770727020.jpg,2
3028297982.jpg,4
train-cbsd-1344.jpg,1
1292512512.jpg,3
481972599.jpg,4
3900670329.jpg,1
1768909120.jpg,2
1284148713.jpg,3
4105402505.jpg,3
train-cbsd-1143.jpg,1
2569367644.jpg,3
161212223.jpg,3
1674852980.jpg,3
873125819.jpg,3
train-cbb-160.jpg,0
2799462871.jpg,3
1615166642.jpg,2
3792024125.jpg,4
train-cgm-489.jpg,2
339595487.jpg,3
1974079097.jpg,3
2028369861.jpg,2
train-cmd-1202.jpg,3
train-cgm-487.jpg,2
959863341.jpg,3
1937179259.jpg,2
1660477891.jpg,3
2948468563.jpg,0
1356659344.jpg,3
2437198013.jpg,1
1895446245.jpg,3
train-cbsd-1177.jpg,1
3165686559.jpg,3
237477480.jpg,3
3035759546.jpg,3
4231168569.jpg,3
2977542209.jpg,3
train-cbsd-642.jpg,1
814288392.jpg,3
312043582.jpg,3
3092766457.jpg,3
train-cgm-426.jpg,2
1327766969.jpg,1
118348643.jpg,3
2981547465.jpg,3
1950600545.jpg,3
3064281169.jpg,3
1558263812.jpg,2
1339403533.jpg,1
4172721678.jpg,3
2498112851.jpg,3
train-cmd-1843.jpg,3
train-cbsd-490.jpg,1
train-cmd-1406.jpg,3
1138006821.jpg,3
train-cmd-1329.jpg,3
1027796931.jpg,0
591372512.jpg,2
train-cgm-508.jpg,2
87703299.jpg,0
1073881095.jpg,3
3120878969.jpg,3
train-cbsd-1272.jpg,1
433273878.jpg,2
4290827656.jpg,3
2899766947.jpg,3
train-cbsd-771.jpg,1
2722184937.jpg,1
3602830290.jpg,4
4270993331.jpg,3
3307190669.jpg,3
4098383673.jpg,3
813060428.jpg,3
932462711.jpg,2
4149019611.jpg,3
2486633208.jpg,3
1026915452.jpg,1
2509869422.jpg,3
1985460238.jpg,3
train-cmd-911.jpg,3
1173040000.jpg,2
3097456924.jpg,3
2354318365.jpg,3
1548736295.jpg,3
1819398111.jpg,3
1785596731.jpg,0
1933581758.jpg,3
1500175221.jpg,3
3325565280.jpg,3
237261543.jpg,3
325567514.jpg,4
1313972896.jpg,3
236939570.jpg,3
train-cbsd-910.jpg,1
112619806.jpg,3
498242244.jpg,3
848164169.jpg,3
482396705.jpg,3
1310705023.jpg,3
1048372814.jpg,3
975311959.jpg,3
119857388.jpg,3
376449417.jpg,3
train-cmd-2559.jpg,3
2745895551.jpg,3
4211450087.jpg,3
841447930.jpg,3
2731342546.jpg,3
train-cbb-201.jpg,0
2500939738.jpg,1
1958784721.jpg,3
train-cbsd-431.jpg,1
3673489781.jpg,3
1253370926.jpg,1
3660919522.jpg,3
2261678500.jpg,0
train-cgm-311.jpg,2
3003064955.jpg,3
2840845699.jpg,2
train-cgm-396.jpg,2
2375481276.jpg,3
train-cmd-1432.jpg,3
569345273.jpg,3
3989761123.jpg,4
train-cmd-678.jpg,3
763642259.jpg,3
train-cmd-164.jpg,3
1830778747.jpg,3
train-cmd-289.jpg,3
train-cgm-630.jpg,2
3991899434.jpg,3
323552836.jpg,3
4251678390.jpg,2
1411610648.jpg,0
1587009529.jpg,3
966306135.jpg,3
4174883420.jpg,3
train-cmd-1851.jpg,3
3987330899.jpg,3
3446250532.jpg,3
4146743223.jpg,2
2191032534.jpg,3
982343142.jpg,3
train-cmd-1029.jpg,3
train-cbsd-1323.jpg,1
939241436.jpg,3
