d2024-11-03 23:32:38,382 - INFO - Loading pretrained weights from Hugging Face hub (timm/resnext50_32x4d.a1h_in1k)
2024-11-03 23:32:38,636 - INFO - [timm/resnext50_32x4d.a1h_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2024-11-03 23:32:38,816 - INFO - Start of training.
2024-11-03 23:32:38,816 - INFO - Epoch 1/20
2024-11-03 23:32:38,816 - INFO - ----------
2024-11-03 23:36:08,874 - INFO - train Loss: 1.2734 Acc: 0.4680
2024-11-03 23:37:05,397 - INFO - New best model found at epoch 1 with validation loss 1.0365
2024-11-03 23:37:05,397 - INFO - Best model saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/best_model.pth
2024-11-03 23:37:05,397 - INFO - val Loss: 1.0365 Acc: 0.5910
2024-11-03 23:37:05,397 - INFO - Epoch complete!
2024-11-03 23:37:05,397 - INFO - Epoch 2/20
2024-11-03 23:37:05,397 - INFO - ----------
2024-11-03 23:40:34,070 - INFO - train Loss: 0.9147 Acc: 0.6457
2024-11-03 23:41:30,445 - INFO - New best model found at epoch 2 with validation loss 0.8715
2024-11-03 23:41:30,445 - INFO - Best model saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/best_model.pth
2024-11-03 23:41:30,445 - INFO - val Loss: 0.8715 Acc: 0.6668
2024-11-03 23:41:30,445 - INFO - Epoch complete!
2024-11-03 23:41:30,445 - INFO - Epoch 3/20
2024-11-03 23:41:30,445 - INFO - ----------
2024-11-03 23:44:59,929 - INFO - train Loss: 0.7510 Acc: 0.7155
2024-11-03 23:45:57,526 - INFO - New best model found at epoch 3 with validation loss 0.7877
2024-11-03 23:45:57,526 - INFO - Best model saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/best_model.pth
2024-11-03 23:45:57,526 - INFO - val Loss: 0.7877 Acc: 0.7001
2024-11-03 23:45:57,526 - INFO - Epoch complete!
2024-11-03 23:45:57,526 - INFO - Epoch 4/20
2024-11-03 23:45:57,526 - INFO - ----------
2024-11-03 23:49:26,210 - INFO - train Loss: 0.6097 Acc: 0.7761
2024-11-03 23:50:22,511 - INFO - New best model found at epoch 4 with validation loss 0.6942
2024-11-03 23:50:22,511 - INFO - Best model saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/best_model.pth
2024-11-03 23:50:22,511 - INFO - val Loss: 0.6942 Acc: 0.7437
2024-11-03 23:50:22,511 - INFO - Epoch complete!
2024-11-03 23:50:22,511 - INFO - Epoch 5/20
2024-11-03 23:50:22,511 - INFO - ----------
